Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
6ab5ef7e-b53d-4ef1-91e3-8a0d7909255c,"2020-03-21, 11:52:01 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07bf5b48e1af10692""}]",,us-east-1,Client.InvalidParameterValue,elasticloadbalancing.amazonaws.com
d2fda498-c0ac-4e6d-8ddc-42f67bee8bf1,"2020-03-21, 11:51:58 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07bf5b48e1af10692""}]",,us-east-1,Client.InvalidParameterValue,elasticloadbalancing.amazonaws.com
34ec6c49-0036-458b-abec-c6ffdd9efcbd,"2020-03-21, 11:51:55 AM",ElasticLoadBalancing,DeleteNetworkInterface,EC2 NetworkInterface,"[{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07bf5b48e1af10692""}]",,us-east-1,Client.InvalidParameterValue,elasticloadbalancing.amazonaws.com
11e153ed-0120-44a7-a5f2-b9f76363ac73,"2020-03-21, 11:51:54 AM",root,UpdateAutoScalingGroup,AutoScaling AutoScalingGroup,"[{""resourceType"":""AWS::AutoScaling::AutoScalingGroup"",""resourceName"":""awseb-e-mf2wguua4q-stack-AWSEBAutoScalingGroup-PYW0H3ID2OPR""}]",,us-east-1,,cloudformation.amazonaws.com
04aaa112-a559-4f9a-9e17-c68449026479,"2020-03-21, 11:51:53 AM",root,DeleteLoadBalancer,ElasticLoadBalancingV2 LoadBalancer,"[{""resourceType"":""AWS::ElasticLoadBalancingV2::LoadBalancer"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:loadbalancer/app/awseb-AWSEB-F67ZVSUX79Q7/3bb28cd4913210aa""}]",,us-east-1,,cloudformation.amazonaws.com
12a620a2-9fd6-4639-aa89-286f6ec000b2,"2020-03-21, 11:51:53 AM",root,DeletePolicy,AutoScaling ScalingPolicy,"[{""resourceType"":""AWS::AutoScaling::ScalingPolicy"",""resourceName"":""arn:aws:autoscaling:us-east-1:914415844393:scalingPolicy:225d18fc-6016-4fff-83ac-0375972d3df7:autoScalingGroupName/awseb-e-mf2wguua4q-stack-AWSEBAutoScalingGroup-PYW0H3ID2OPR:policyName/awseb-e-mf2wguua4q-stack-AWSEBAutoScalingScaleUpPolicy-CZBDCQIOZI6Z""}]",,us-east-1,,cloudformation.amazonaws.com
e7294eb3-618b-4d27-87cc-f0d57e5775d3,"2020-03-21, 11:51:53 AM",root,DeletePolicy,AutoScaling ScalingPolicy,"[{""resourceType"":""AWS::AutoScaling::ScalingPolicy"",""resourceName"":""arn:aws:autoscaling:us-east-1:914415844393:scalingPolicy:12f73178-113f-449c-a830-9101c758f207:autoScalingGroupName/awseb-e-mf2wguua4q-stack-AWSEBAutoScalingGroup-PYW0H3ID2OPR:policyName/awseb-e-mf2wguua4q-stack-AWSEBAutoScalingScaleDownPolicy-I7JKN6G5EK7K""}]",,us-east-1,,cloudformation.amazonaws.com
133b1277-76bc-4ea9-9517-004985f60517,"2020-03-21, 11:51:51 AM",root,DeleteAlarms,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""awseb-e-mf2wguua4q-stack-AWSEBCloudwatchAlarmHigh-R5R4PYDUZQ7D""}]",,us-east-1,,cloudformation.amazonaws.com
41106c37-026f-49c2-a4f3-e10e6887df0e,"2020-03-21, 11:51:51 AM",root,DeleteAlarms,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""awseb-e-mf2wguua4q-stack-AWSEBCloudwatchAlarmLow-7N561DJXNO""}]",,us-east-1,,cloudformation.amazonaws.com
596a7786-1846-4ca1-9fa7-0f27f605fad0,"2020-03-21, 11:51:51 AM",root,RevokeSecurityGroupIngress,EC2 SecurityGroup,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""awseb-e-mf2wguua4q-stack-AWSEBSecurityGroup-HM7XXBEBEPZ""}]",,us-east-1,,cloudformation.amazonaws.com
acab79aa-20b4-405d-ae2d-7c67a50a927e,"2020-03-21, 11:51:51 AM",root,DeleteListener,ElasticLoadBalancingV2 Listener,"[{""resourceType"":""AWS::ElasticLoadBalancingV2::Listener"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:listener/app/awseb-AWSEB-F67ZVSUX79Q7/3bb28cd4913210aa/afd682c3a0daca74""}]",,us-east-1,,cloudformation.amazonaws.com
ba096d27-e24e-44c5-8d6e-bb26a990ef86,"2020-03-21, 11:51:48 AM",root,DeleteStack,CloudFormation Stack,"[{""resourceType"":""AWS::CloudFormation::Stack"",""resourceName"":""awseb-e-mf2wguua4q-stack""}]",,us-east-1,,elasticbeanstalk.amazonaws.com
2206e521-703c-420d-92f8-370dea724827,"2020-03-21, 11:51:41 AM",root,DeleteApplication,,,,us-east-1,,124.123.73.55
af828413-2bd3-4012-9255-22e9c1cba13c,"2020-03-21, 11:51:32 AM",amitgoswami1027,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBCloudwatchAlarmHigh-1IZS4UI8A781K""}]",,us-east-1,,cloudformation.amazonaws.com
2bc36b48-1b3a-4bec-a3aa-3f72033c4c50,"2020-03-21, 11:51:31 AM",amitgoswami1027,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBCloudwatchAlarmLow-1LBSR5SZSCKH9""}]",,us-east-1,,cloudformation.amazonaws.com
79c0a55f-39a5-4996-a1f6-123783d9e45e,"2020-03-21, 11:51:27 AM",amitgoswami1027,PutScalingPolicy,AutoScaling AutoScalingGroup and 1 more,"[{""resourceType"":""AWS::AutoScaling::AutoScalingGroup"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBAutoScalingGroup-QWZ25Z40SRPV""},{""resourceType"":""AWS::AutoScaling::ScalingPolicy"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBAutoScalingScaleUpPolicy-G9FS8M1MT9R9""}]",,us-east-1,,cloudformation.amazonaws.com
caeba9fe-7430-4c56-bd97-3a9194baa902,"2020-03-21, 11:51:26 AM",amitgoswami1027,PutScalingPolicy,AutoScaling AutoScalingGroup and 1 more,"[{""resourceType"":""AWS::AutoScaling::AutoScalingGroup"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBAutoScalingGroup-QWZ25Z40SRPV""},{""resourceType"":""AWS::AutoScaling::ScalingPolicy"",""resourceName"":""awseb-e-y2stvgdmee-stack-AWSEBAutoScalingScaleDownPolicy-FIKCTDP9HQUP""}]",,us-east-1,,cloudformation.amazonaws.com
66441691-1154-433b-aff5-93978a6693f0,"2020-03-21, 11:51:09 AM",AutoScaling,RegisterTargets,EC2 Instance and 1 more,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f59aa6c19ac2ea53""},{""resourceType"":""AWS::ElasticLoadBalancingV2::TargetGroup"",""resourceName"":""arn:aws:elasticloadbalancing:us-east-1:914415844393:targetgroup/awseb-AWSEB-XDESSP3F16SG/8c538a9275248e43""}]",,us-east-1,,autoscaling.amazonaws.com
